"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-07",,,"89",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-08",,,"98",",,0","69",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-09",,,"83",",,0","66",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-10",,,"88",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-11",,,"71",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-12",,,"74",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-13",,,"80",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-14",,,"94",",,0","68",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-15",,,"79",",,0","66",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-16",,,"79",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-17",,,"80",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-18",,,"74",",,0","64",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-19",,,"74",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-20",,,"74",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-21",,,"68",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-22",,,"72",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-23",,,"81",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-24",,,"77",",,0","66",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-25",,,"80",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-26",,,"79",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-27",,,"83",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-28",,,"92",",,0","64",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-29",,,"88",",,0","69",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-30",,,"78",",,0","64",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-31",,,"80",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-01",,,"83",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-02",,,"92",",,0","67",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-03",,,"87",",,0","65",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-04",,,"92",",,0","69",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-05",,,"74",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-06",,,"63",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-07",,,"72",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-08",,,"78",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-09",,,"74",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-10",,,"85",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-11",,,"81",",,0","65",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-12",,,"77",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-13",,,"92",",,0","64",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-14",,,"79",",,0","66",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-15",,,"85",",,0","65",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-16",,,"94",",,0","76",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-17",,,"89",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-18",,,"71",",,0","56",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-19",,,"83",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-20",,,"74",",,0","62",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-21",,,"71",",,0","56",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-22",,,"59",",,0","54",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-23",,,"82",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-24",,,"86",",,0","71",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-25",,,"81",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-26",,,"69",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-27",,,"71",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-28",,,"69",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-29",,,"63",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-30",,,"68",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-08-31",,,"75",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-09-01",,,"72",",,0","56",",,0"
